timestamp,tool,config,repo,file,file_path_rel,findings_count,consensus_relevant,elapsed_s,findings_detail
2026-02-09T20:21:18.870413,semgrep:auto,auto,2016Nishi,chaincode_example01.go,2016Nishi/chaincode_example01.go,0,0,3.428,NO_FINDINGS
2026-02-09T20:21:22.089853,semgrep:auto,auto,2016Nishi,chaincode_example02.go,2016Nishi/chaincode_example02.go,0,0,3.218,NO_FINDINGS
2026-02-09T20:21:25.037011,semgrep:auto,auto,2016Nishi,chaincode_example03.go,2016Nishi/chaincode_example03.go,0,0,2.947,NO_FINDINGS
2026-02-09T20:21:28.807628,semgrep:auto,auto,2016Nishi,chaincode_example04.go,2016Nishi/chaincode_example04.go,0,0,3.771,NO_FINDINGS
2026-02-09T20:21:31.771936,semgrep:auto,auto,2016Nishi,chaincode_example05.go,2016Nishi/chaincode_example05.go,0,0,2.963,NO_FINDINGS
2026-02-09T20:21:34.915438,semgrep:auto,auto,2016Nishi,configure.go,2016Nishi/configure.go,0,0,3.144,NO_FINDINGS
2026-02-09T20:21:37.980870,semgrep:auto,auto,2016Nishi,endorser_onevalidsignature.go,2016Nishi/endorser_onevalidsignature.go,0,0,3.065,NO_FINDINGS
2026-02-09T20:21:41.004000,semgrep:auto,auto,2016Nishi,eventsender.go,2016Nishi/eventsender.go,0,0,3.023,NO_FINDINGS
2026-02-09T20:21:44.065819,semgrep:auto,auto,2016Nishi,invokereturnsvalue.go,2016Nishi/invokereturnsvalue.go,0,0,3.062,NO_FINDINGS
2026-02-09T20:21:47.166596,semgrep:auto,auto,2016Nishi,marbles_chaincode.go,2016Nishi/marbles_chaincode.go,0,0,3.1,NO_FINDINGS
2026-02-09T20:21:50.403175,semgrep:auto,auto,2016Nishi,passthru.go,2016Nishi/passthru.go,0,0,3.236,NO_FINDINGS
2026-02-09T20:21:53.337703,semgrep:auto,auto,2016Nishi,samplesyscc.go,2016Nishi/samplesyscc.go,0,0,2.935,NO_FINDINGS
2026-02-09T20:21:56.446842,semgrep:auto,auto,2016Nishi,sleeper.go,2016Nishi/sleeper.go,0,0,3.109,NO_FINDINGS
2026-02-09T20:21:59.575441,semgrep:auto,auto,2016Nishi,validator_onevalidsignature.go,2016Nishi/validator_onevalidsignature.go,0,0,3.129,NO_FINDINGS
2026-02-09T20:22:02.459259,semgrep:auto,auto,abegpatel,chaincode.go,abegpatel/chaincode.go,0,0,2.884,NO_FINDINGS
2026-02-09T20:22:05.572486,semgrep:auto,auto,abegpatel,chaincode_sample.go,abegpatel/chaincode_sample.go,0,0,3.113,NO_FINDINGS
2026-02-09T20:22:08.362948,semgrep:auto,auto,abegpatel,map.go,abegpatel/map.go,0,0,2.789,NO_FINDINGS
2026-02-09T20:22:11.449381,semgrep:auto,auto,abegpatel,map_private.go,abegpatel/map_private.go,0,0,3.086,NO_FINDINGS
2026-02-09T20:22:14.281537,semgrep:auto,auto,abegpatel,mapkeys.go,abegpatel/mapkeys.go,0,0,2.832,NO_FINDINGS
2026-02-09T20:22:17.136613,semgrep:auto,auto,abegpatel,marbles_chaincode.go,abegpatel/marbles_chaincode.go,0,0,2.854,NO_FINDINGS
2026-02-09T20:22:20.246796,semgrep:auto,auto,abegpatel,marbles_chaincode_private.go,abegpatel/marbles_chaincode_private.go,0,0,3.11,NO_FINDINGS
2026-02-09T20:22:23.012011,semgrep:auto,auto,abgulati,JSON_CRUD_Chaincode.go,abgulati/JSON_CRUD_Chaincode.go,0,0,2.765,NO_FINDINGS
2026-02-09T20:22:26.032035,semgrep:auto,auto,acloudfan,calc.go,acloudfan/calc.go,0,0,3.019,NO_FINDINGS
2026-02-09T20:22:28.863504,semgrep:auto,auto,acloudfan,caller.go,acloudfan/caller.go,0,0,2.831,NO_FINDINGS
2026-02-09T20:22:31.899985,semgrep:auto,auto,acloudfan,chaincode_example02.go,acloudfan/chaincode_example02.go,0,0,3.036,NO_FINDINGS
2026-02-09T20:22:34.768287,semgrep:auto,auto,acloudfan,erc20.go,acloudfan/erc20.go,0,0,2.868,NO_FINDINGS
2026-02-09T20:22:37.818701,semgrep:auto,auto,acloudfan,priv.go,acloudfan/priv.go,0,0,3.05,NO_FINDINGS
2026-02-09T20:22:40.660474,semgrep:auto,auto,acloudfan,qry.go,acloudfan/qry.go,0,0,2.842,NO_FINDINGS
2026-02-09T20:22:43.543535,semgrep:auto,auto,acloudfan,token.go,acloudfan/token.go,0,0,2.883,NO_FINDINGS
2026-02-09T20:22:46.415550,semgrep:auto,auto,adityachap,example_cc.go,adityachap/example_cc.go,0,0,2.872,NO_FINDINGS
2026-02-09T20:22:49.561205,semgrep:auto,auto,adnanjee,GoChaincodeTemplate.go,adnanjee/GoChaincodeTemplate.go,0,0,3.146,NO_FINDINGS
2026-02-09T20:22:52.365824,semgrep:auto,auto,airvin,chaincode_example02.go,airvin/chaincode_example02.go,0,0,2.804,NO_FINDINGS
2026-02-09T20:22:55.453830,semgrep:auto,auto,airvin,sacc.go,airvin/sacc.go,0,0,3.087,NO_FINDINGS
2026-02-09T20:22:58.302367,semgrep:auto,auto,Akachain,main.go,Akachain/main.go,0,0,2.849,NO_FINDINGS
2026-02-09T20:23:01.397850,semgrep:auto,auto,akkagao,citizensChain.go,akkagao/citizensChain.go,0,0,3.095,NO_FINDINGS
2026-02-09T20:23:04.499668,semgrep:auto,auto,akm4,Person.go,akm4/Person.go,0,0,3.102,NO_FINDINGS
2026-02-09T20:23:07.380101,semgrep:auto,auto,akm4,Shop.go,akm4/Shop.go,0,0,2.88,NO_FINDINGS
2026-02-09T20:23:10.247629,semgrep:auto,auto,akshay111meher,ex2.go,akshay111meher/ex2.go,0,0,2.868,NO_FINDINGS
2026-02-09T20:23:13.318943,semgrep:auto,auto,akshay111meher,myexample.go,akshay111meher/myexample.go,0,0,3.07,NO_FINDINGS
2026-02-09T20:23:16.110715,semgrep:auto,auto,alejandrolr,arm.go,alejandrolr/arm.go,0,0,2.792,NO_FINDINGS
2026-02-09T20:23:19.252927,semgrep:auto,auto,alejandrolr,lab.go,alejandrolr/lab.go,0,0,3.142,NO_FINDINGS
2026-02-09T20:23:22.138521,semgrep:auto,auto,alejandrolr,supplyChain.go,alejandrolr/supplyChain.go,0,0,2.886,NO_FINDINGS
2026-02-09T20:23:24.966934,semgrep:auto,auto,alejoacosta74,abac.go,alejoacosta74/abac.go,0,0,2.828,NO_FINDINGS
2026-02-09T20:23:27.786816,semgrep:auto,auto,alejoacosta74,chaincode_example02.go,alejoacosta74/chaincode_example02.go,0,0,2.82,NO_FINDINGS
2026-02-09T20:23:30.623262,semgrep:auto,auto,alejoacosta74,marbles_chaincode.go,alejoacosta74/marbles_chaincode.go,0,0,2.836,NO_FINDINGS
2026-02-09T20:23:33.632050,semgrep:auto,auto,alejoacosta74,sacc.go,alejoacosta74/sacc.go,0,0,3.009,NO_FINDINGS
2026-02-09T20:23:36.488494,semgrep:auto,auto,alext234,main.go,alext234/main.go,0,0,2.855,NO_FINDINGS
2026-02-09T20:23:39.327668,semgrep:auto,auto,allan-zhou,fabcar.go,allan-zhou/fabcar.go,0,0,2.839,NO_FINDINGS
2026-02-09T20:23:42.232534,semgrep:auto,auto,allan-zhou,marble.go,allan-zhou/marble.go,0,0,2.905,NO_FINDINGS
2026-02-09T20:23:45.074585,semgrep:auto,auto,allan-zhou,mysacc.go,allan-zhou/mysacc.go,0,0,2.841,NO_FINDINGS
2026-02-09T20:23:48.023153,semgrep:auto,auto,allan-zhou,template.go,allan-zhou/template.go,0,0,2.949,NO_FINDINGS
2026-02-09T20:23:51.008905,semgrep:auto,auto,allan-zhou,transfer.go,allan-zhou/transfer.go,0,0,2.986,NO_FINDINGS
2026-02-09T20:23:53.936133,semgrep:auto,auto,Amit9887,marble.go,Amit9887/marble.go,0,0,2.927,NO_FINDINGS
2026-02-09T20:23:56.903843,semgrep:auto,auto,amtoaer,main.go,amtoaer/main.go,0,0,2.968,NO_FINDINGS
2026-02-09T20:23:59.910358,semgrep:auto,auto,anallr,chaincode_example02.go,anallr/chaincode_example02.go,0,0,3.006,NO_FINDINGS
2026-02-09T20:24:03.155776,semgrep:auto,auto,andres07a,sacc.go,andres07a/sacc.go,0,0,3.245,NO_FINDINGS
2026-02-09T20:24:10.109616,semgrep:auto,auto,ankitaunhalkar,first_chaincode.go,ankitaunhalkar/first_chaincode.go,0,0,6.954,NO_FINDINGS
2026-02-09T20:24:13.218536,semgrep:auto,auto,ankitaunhalkar,tradefinance_chaincode.go,ankitaunhalkar/tradefinance_chaincode.go,0,0,3.108,NO_FINDINGS
2026-02-09T20:24:16.351267,semgrep:auto,auto,Anylsite,DeviceManager.go,Anylsite/DeviceManager.go,0,0,3.133,NO_FINDINGS
2026-02-09T20:24:19.485965,semgrep:auto,auto,anzalbeg,abac.go,anzalbeg/abac.go,0,0,3.135,NO_FINDINGS
2026-02-09T20:24:22.369585,semgrep:auto,auto,anzalbeg,chaincode_example02.go,anzalbeg/chaincode_example02.go,0,0,2.884,NO_FINDINGS
2026-02-09T20:24:25.188839,semgrep:auto,auto,anzalbeg,fabcar.go,anzalbeg/fabcar.go,0,0,2.819,NO_FINDINGS
2026-02-09T20:24:28.101802,semgrep:auto,auto,anzalbeg,marbles_chaincode.go,anzalbeg/marbles_chaincode.go,0,0,2.913,NO_FINDINGS
2026-02-09T20:24:31.208020,semgrep:auto,auto,anzalbeg,sacc.go,anzalbeg/sacc.go,0,0,3.106,NO_FINDINGS
2026-02-09T20:24:34.052189,semgrep:auto,auto,AProkot,mycontract.go,AProkot/mycontract.go,0,0,2.844,NO_FINDINGS
2026-02-09T20:24:37.204606,semgrep:auto,auto,arslanali9797,firstchaincode.go,arslanali9797/firstchaincode.go,0,0,3.152,NO_FINDINGS
