timestamp,tool,config,file,file_category,findings_count,elapsed_s,findings_detail
2026-02-09T14:22:14.181706,semgrep:auto,auto,safe_01_logging.go,safe,0,2.992,NO_FINDINGS
2026-02-09T14:22:17.253737,semgrep:auto,auto,safe_02_local_var.go,safe,0,3.072,NO_FINDINGS
2026-02-09T14:22:20.063442,semgrep:auto,auto,safe_03_map_read.go,safe,0,2.809,NO_FINDINGS
2026-02-09T14:22:22.808415,semgrep:auto,auto,safe_04_math_rand.go,safe,0,2.745,NO_FINDINGS
2026-02-09T14:22:25.800967,semgrep:auto,auto,safe_05_deterministic_time.go,safe,0,2.993,NO_FINDINGS
2026-02-09T14:22:28.626782,semgrep:auto,auto,safe_06_external_lib.go,safe,0,2.826,NO_FINDINGS
2026-02-09T14:22:31.395676,semgrep:auto,auto,vuln_01_b_interprocedural.go,vulnerable,0,2.768,NO_FINDINGS
2026-02-09T14:22:34.188712,semgrep:auto,auto,vuln_01_time.go,vulnerable,0,2.793,NO_FINDINGS
2026-02-09T14:22:36.986900,semgrep:auto,auto,vuln_02_global.go,vulnerable,0,2.798,NO_FINDINGS
2026-02-09T14:22:39.995080,semgrep:auto,auto,vuln_03_goroutine.go,vulnerable,0,3.008,NO_FINDINGS
2026-02-09T14:22:42.736028,semgrep:auto,auto,vuln_04_b_nested_map.go,vulnerable,0,2.74,NO_FINDINGS
2026-02-09T14:22:45.607838,semgrep:auto,auto,vuln_04_map_iter.go,vulnerable,0,2.871,NO_FINDINGS
2026-02-09T14:22:48.386617,semgrep:auto,auto,vuln_05_phantom.go,vulnerable,0,2.779,NO_FINDINGS
2026-02-09T14:22:51.206147,semgrep:auto,auto,vuln_06_b_conditional_leak.go,vulnerable,0,2.819,NO_FINDINGS
2026-02-09T14:22:54.087594,semgrep:auto,auto,vuln_06_iterator_leak.go,vulnerable,0,2.881,NO_FINDINGS
2026-02-09T14:22:57.555922,semgrep:security-audit,p/security-audit,safe_01_logging.go,safe,0,3.467,NO_FINDINGS
2026-02-09T14:23:01.032610,semgrep:security-audit,p/security-audit,safe_02_local_var.go,safe,0,3.477,NO_FINDINGS
2026-02-09T14:23:04.524566,semgrep:security-audit,p/security-audit,safe_03_map_read.go,safe,0,3.492,NO_FINDINGS
2026-02-09T14:23:08.032280,semgrep:security-audit,p/security-audit,safe_04_math_rand.go,safe,1,3.508,[L6] WARNING | go.lang.security.audit.crypto.math_random.math-random-used: Do not use `math/rand`. Use `crypto/rand` instead.
2026-02-09T14:23:11.548382,semgrep:security-audit,p/security-audit,safe_05_deterministic_time.go,safe,0,3.516,NO_FINDINGS
2026-02-09T14:23:15.035863,semgrep:security-audit,p/security-audit,safe_06_external_lib.go,safe,0,3.487,NO_FINDINGS
2026-02-09T14:23:18.738797,semgrep:security-audit,p/security-audit,vuln_01_b_interprocedural.go,vulnerable,0,3.703,NO_FINDINGS
2026-02-09T14:23:22.219858,semgrep:security-audit,p/security-audit,vuln_01_time.go,vulnerable,0,3.481,NO_FINDINGS
2026-02-09T14:23:25.797969,semgrep:security-audit,p/security-audit,vuln_02_global.go,vulnerable,0,3.578,NO_FINDINGS
2026-02-09T14:23:29.464553,semgrep:security-audit,p/security-audit,vuln_03_goroutine.go,vulnerable,0,3.667,NO_FINDINGS
2026-02-09T14:23:32.980358,semgrep:security-audit,p/security-audit,vuln_04_b_nested_map.go,vulnerable,0,3.516,NO_FINDINGS
2026-02-09T14:23:36.377064,semgrep:security-audit,p/security-audit,vuln_04_map_iter.go,vulnerable,0,3.397,NO_FINDINGS
2026-02-09T14:23:39.827522,semgrep:security-audit,p/security-audit,vuln_05_phantom.go,vulnerable,0,3.45,NO_FINDINGS
2026-02-09T14:23:43.416008,semgrep:security-audit,p/security-audit,vuln_06_b_conditional_leak.go,vulnerable,0,3.588,NO_FINDINGS
2026-02-09T14:23:47.009040,semgrep:security-audit,p/security-audit,vuln_06_iterator_leak.go,vulnerable,0,3.593,NO_FINDINGS
